,precision,recall,f1-score,support
0,0.9761115071861793,0.8773717204550732,0.9241115534730849,215350.0
1,0.6502436956982411,0.9139240506329114,0.7598588497492725,53720.0
accuracy,0.8846694168803657,0.8846694168803657,0.8846694168803657,0.8846694168803657
macro avg,0.8131776014422103,0.8956478855439922,0.8419852016111787,269070.0
weighted avg,0.9110517872875208,0.8846694168803657,0.8913183946517997,269070.0
