,precision,recall,f1-score,support
0,0.9141592449348899,0.9570931042488972,0.9351336391312436,215350.0
1,0.7881025546943081,0.6397244973938943,0.7062038920740604,53720.0
accuracy,0.8937302560671944,0.8937302560671944,0.8937302560671944,0.8937302560671944
macro avg,0.851130899814599,0.7984088008213956,0.820668765602652,269070.0
weighted avg,0.8889919449767971,0.8937302560671944,0.8894276666634401,269070.0
