,precision,recall,f1-score,support
0,0.965388147206329,0.8884977942883677,0.9253484480640699,215350.0
1,0.6611920081273281,0.8723008190618019,0.7522152305123925,53720.0
accuracy,0.8852640576801576,0.8852640576801576,0.8852640576801576,0.8852640576801576
macro avg,0.8132900776668286,0.8803993066750848,0.8387818392882311,269070.0
weighted avg,0.9046551907588471,0.8852640576801576,0.8907822888977708,269070.0
