,precision,recall,f1-score,support
0,0.9633061916115585,0.8949152542372881,0.9278521753155309,215350.0
1,0.6720717587561043,0.8633469843633657,0.7557952888070464,53720.0
accuracy,0.8886126286839856,0.8886126286839856,0.8886126286839856,0.8886126286839856
macro avg,0.8176889751838314,0.8791311193003268,0.8418237320612887,269070.0
weighted avg,0.9051610482176646,0.8886126286839856,0.8935009063400384,269070.0
